,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53,100,100,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100
0.15,100,100,100,42,100,100,100,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,47,100,100,100,100,100,68,100,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100
0.2,100,100,100,100,100,100,25,100,100,100,100,100,100,100,100,100,100,100,100,18,100,100,100,100,100,100,100,100,100,100,100,43,16,100,100,100,100,61,100,100,14,100,43,100,100,100,53,100,100,100,82,100,100,100,25,100,100,100,100,31
0.25,100,100,75,100,69,100,100,100,100,61,20,100,18,100,100,100,100,10,83,100,100,12,18,100,17,100,100,28,100,100,100,30,100,17,36,52,100,100,100,34,28,18,100,100,75,100,25,100,100,34,61,100,100,100,19,91,100,100,100,100
0.3,100,35,33,100,37,40,16,100,100,100,68,12,100,45,100,10,16,100,100,100,42,100,12,100,22,29,100,65,100,15,100,52,100,42,60,100,100,43,28,11,30,100,83,17,100,14,100,100,100,100,100,24,16,100,38,100,100,93,100,24
0.35,100,63,100,100,53,58,100,57,100,50,81,60,100,20,100,100,100,39,21,13,41,57,28,100,100,100,100,93,100,100,20,23,100,21,13,20,57,10,45,100,100,47,54,23,40,100,100,46,100,100,100,91,100,16,100,13,100,52,100,34
0.4,100,100,100,100,17,53,29,50,13,16,29,76,21,100,100,10,100,100,100,14,10,100,89,18,25,44,12,100,8,20,85,15,79,100,100,100,28,16,18,100,25,21,17,47,28,85,100,100,100,62,20,24,100,16,63,100,17,100,69,46
0.45,95,78,34,28,31,40,100,100,14,18,22,100,34,100,100,23,9,18,35,15,21,14,100,34,28,24,20,22,12,8,100,11,41,100,31,13,38,10,100,15,22,100,100,100,18,19,33,24,66,20,100,11,39,41,100,100,100,33,34,61
