,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,27,100,100,100,100,29,100,100,100,100,100,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,65,100,100
0.15,100,100,100,100,87,100,100,22,32,100,100,100,100,100,100,100,100,90,100,100,27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,51,59,100,100,100,100,100,100,100,31,100,24,100
0.2,100,100,100,100,100,100,100,100,100,100,37,100,100,100,100,100,100,100,100,21,100,13,69,63,100,100,100,100,10,100,51,94,31,100,100,100,13,100,100,100,100,100,100,100,100,100,100,100,61,28,100,100,100,100,100,100,100,100,100,100
0.25,100,100,100,100,100,100,100,78,48,30,40,100,100,100,100,36,30,100,100,100,31,54,100,100,100,100,37,100,13,100,100,100,100,100,35,100,20,16,100,100,100,17,13,15,79,100,32,100,100,100,100,100,100,45,26,100,100,100,100,100
0.3,100,50,100,100,44,18,100,77,100,100,14,100,100,100,13,78,51,88,18,100,60,93,11,100,100,20,100,33,100,87,100,100,21,28,17,100,100,100,100,28,100,57,32,30,32,100,100,100,100,25,100,30,24,35,35,22,31,100,15,100
0.35,100,100,47,100,35,94,20,100,23,13,66,15,100,100,53,100,70,66,100,100,100,100,22,31,100,21,100,100,25,13,33,100,63,21,100,100,100,56,15,46,15,100,100,21,16,20,100,37,44,80,100,13,100,100,100,10,100,100,100,100
0.4,100,100,71,27,21,100,14,21,100,67,100,37,25,20,10,66,100,24,22,30,9,23,11,21,11,14,28,100,100,100,22,17,100,37,12,100,21,16,44,100,100,31,25,100,100,59,9,100,22,19,15,100,100,100,100,100,100,100,19,56
0.45,100,70,100,100,52,33,100,73,22,37,70,39,17,11,100,28,65,28,21,14,11,31,19,19,11,9,11,9,40,27,10,100,34,20,66,88,10,61,12,100,23,17,42,55,14,57,100,100,15,11,25,100,15,100,13,100,25,17,100,54
