,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.15,100,100,100,100,100,100,100,100,20,100,100,100,33,100,100,100,100,100,100,100,100,100,100,100,27,100,100,100,100,31,100,100,100,100,100,100,100,100,100,100,100,100,68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,66,100
0.2,100,100,100,65,100,100,100,100,100,100,100,100,64,100,100,89,22,25,25,100,100,100,100,100,100,100,100,100,34,100,100,100,100,100,13,100,86,70,100,100,100,100,52,100,100,100,100,100,100,70,100,100,100,26,100,34,100,100,100,100
0.25,100,100,100,100,100,73,100,16,100,100,100,66,100,37,100,24,15,35,100,14,100,21,100,100,23,100,100,83,20,100,53,28,100,100,26,100,100,100,100,15,100,11,100,26,100,100,59,100,100,100,100,22,7,100,100,100,100,100,23,29
0.3,100,100,100,100,33,22,23,77,22,22,100,100,100,100,21,100,9,19,100,100,19,100,100,21,100,100,15,18,100,100,100,60,14,100,49,100,22,60,12,14,62,100,21,48,75,19,47,100,100,22,31,12,100,44,100,100,100,59,100,21
0.35,100,100,62,36,100,32,100,55,17,100,100,15,28,100,59,9,100,100,100,56,44,100,100,26,12,20,100,30,13,16,70,17,7,100,100,13,100,41,15,35,12,29,100,100,100,35,19,15,100,29,78,82,100,100,33,22,21,100,100,18
0.4,95,82,35,31,29,100,22,100,16,100,29,23,25,30,12,21,13,19,59,13,27,16,14,100,22,13,31,9,68,22,36,31,13,20,36,85,42,21,28,20,100,25,100,100,100,100,42,100,71,20,18,100,100,24,100,39,15,100,100,15
0.45,83,84,85,47,100,38,44,24,14,32,71,19,17,10,28,9,29,100,32,100,18,13,67,13,19,21,37,28,19,37,12,40,63,17,46,15,20,100,17,11,15,100,24,100,29,15,100,46,13,15,19,49,45,100,23,17,22,29,27,100
