,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,39,100,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,47,100,100,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,37,100,100,100,100,100,100,100,100
0.2,100,100,68,100,31,100,100,100,42,100,100,41,100,35,100,100,34,100,100,100,100,100,55,90,100,100,100,100,100,100,100,100,100,100,41,100,100,100,29,100,100,100,100,100,100,100,100,100,100,71,100,100,100,100,100,100,100,100,100,27
0.25,100,100,51,100,100,100,98,100,19,100,100,14,100,100,93,38,100,100,100,100,17,100,100,100,40,100,100,100,82,39,49,100,100,100,100,100,55,100,100,100,100,100,100,23,100,100,100,100,100,100,100,22,90,47,100,100,28,22,100,39
0.3,100,100,57,100,100,100,65,76,21,53,24,19,100,100,100,12,100,100,13,12,61,100,15,100,100,62,100,100,28,100,100,100,92,21,100,42,97,100,10,100,100,100,28,100,59,21,100,100,100,100,17,100,100,100,100,19,100,100,17,100
0.35,100,57,32,100,94,100,27,43,13,43,20,19,21,100,76,100,100,30,48,100,100,18,18,100,12,28,100,100,100,49,20,100,31,100,14,100,100,13,100,100,46,23,100,100,100,100,100,31,100,42,23,100,100,100,100,43,12,100,26,14
0.4,100,100,100,47,47,37,40,100,100,21,100,9,100,100,100,32,23,100,21,100,16,32,100,29,100,26,38,100,15,100,11,100,37,100,16,45,100,23,100,100,13,11,15,100,100,100,17,18,34,100,92,17,53,74,34,91,100,37,100,70
0.45,92,50,37,100,43,16,19,19,48,15,14,100,14,33,100,30,100,100,33,75,100,12,64,34,51,100,100,11,9,33,20,20,12,15,22,100,67,100,17,13,40,32,100,14,15,21,64,91,100,21,43,100,24,28,70,27,63,57,12,89
