,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,100,100,100,100,18,100,100,100,100,100,63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.15,100,100,100,100,100,100,100,100,60,100,100,100,21,100,100,100,14,100,22,100,100,100,100,100,100,100,100,100,100,100,58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,100,85,100,100,100,100,100,100,100,100,100,100,100,100
0.2,100,100,100,100,16,29,44,100,85,19,100,100,100,100,100,100,100,29,61,100,100,100,100,100,100,48,22,100,21,47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,17,100,100,100,100,100,44,100,100,31,100,100,100,100,32,100
0.25,100,100,49,33,100,100,45,100,50,19,100,100,13,100,33,100,100,18,100,100,46,100,16,15,100,100,100,100,100,24,62,66,15,100,22,100,34,17,100,100,100,100,100,100,100,100,100,28,100,16,100,100,43,100,100,100,100,38,100,100
0.3,100,77,100,44,100,31,100,100,21,15,100,100,100,100,100,24,100,28,16,10,47,100,100,100,100,35,15,100,23,38,100,100,100,100,24,45,100,100,100,65,100,84,100,14,20,100,100,100,100,100,100,46,100,64,100,62,100,100,29,27
0.35,100,100,67,100,44,28,100,25,100,56,16,28,28,100,31,100,20,53,17,100,22,21,100,100,11,100,62,84,13,21,27,100,13,100,45,100,24,32,14,25,100,34,59,36,100,44,100,100,100,26,78,22,22,100,38,100,95,100,58,23
0.4,79,64,32,47,100,20,20,26,24,71,60,44,30,20,24,28,33,75,18,9,9,21,69,18,71,100,11,70,100,21,13,100,42,14,19,100,22,27,24,18,23,20,100,13,100,17,33,100,8,32,100,100,16,22,100,100,100,27,35,100
0.45,85,57,40,34,25,21,25,31,18,13,13,36,80,32,42,11,15,100,100,65,39,13,32,35,79,13,23,21,27,100,13,18,100,11,100,30,20,54,100,59,47,15,16,25,100,14,22,100,52,24,23,100,29,100,54,31,26,23,100,99
