,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.05,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63,100,100,100,100,100,100,100,100,100,100,100,100,72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,100,100,100,100,100,100,100,100,100,77,100,100,50,100,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,64,100,100,100,100,100,100,100,100,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63,100,48,100,100,100,100,99,36,100,100,100,100,100,100,100,100,100,100
0.2,100,100,100,100,47,100,96,100,52,100,100,100,69,100,100,100,100,100,100,100,76,100,100,100,100,100,100,100,100,100,100,100,100,46,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,93,100,100,45,100,100,100,100,100,34,100
0.25,100,100,70,100,35,100,100,100,100,22,47,100,18,38,19,51,100,19,100,11,76,14,14,100,100,100,33,100,58,100,100,100,100,100,45,100,100,100,100,100,24,100,100,100,43,100,100,100,100,100,100,100,100,100,100,39,100,100,100,55
0.3,89,47,100,18,55,22,100,100,18,52,100,100,42,63,100,100,86,13,100,100,100,39,19,100,10,100,96,100,34,100,100,100,100,33,92,75,100,100,100,17,100,27,100,21,100,100,15,100,100,25,100,26,100,63,100,61,100,41,100,16
0.35,100,100,46,22,61,26,34,36,100,100,27,31,100,19,14,100,33,57,100,27,23,100,100,100,11,16,100,15,22,100,100,100,100,15,39,42,31,42,100,18,100,35,100,100,100,33,14,52,25,16,100,100,19,52,22,43,100,17,100,100
0.4,100,100,100,100,100,63,21,83,32,43,22,14,96,61,14,100,100,18,26,100,7,11,100,100,16,35,22,100,18,10,100,17,9,100,52,70,100,49,18,19,32,16,100,100,16,100,100,66,49,100,100,37,35,19,100,100,31,100,100,100
0.45,100,93,100,47,35,37,20,56,12,35,24,100,24,100,13,35,100,47,13,40,44,11,9,100,100,18,24,100,61,8,20,30,100,20,38,17,12,37,10,100,100,22,100,93,63,14,100,14,100,29,100,37,37,49,100,22,100,62,25,19
